month,num_districts_reporting
2019-01-01,207
2019-02-01,207
2019-03-01,207
2019-04-01,207
2019-05-01,207
2019-06-01,207
2019-07-01,207
2019-08-01,207
2019-09-01,207
2019-10-01,207
2019-11-01,207
2019-12-01,207
2020-01-01,285
2020-02-01,250
2020-03-01,264
2020-04-01,245
2020-05-01,224
2020-06-01,254
2020-07-01,242
2020-08-01,220
2020-09-01,226
2020-10-01,216
2020-11-01,215
2020-12-01,163
2021-01-01,134
2021-02-01,135
2021-03-01,138
2021-04-01,99
2021-05-01,65
